LHA,cases_per_100k,Date
Powell River,0,2021-07-13
Howe Sound,0,2021-07-13
Bella Coola Valley,0,2021-07-13
Central Coast,0,2021-07-13
Greater Victoria,1,2021-07-13
Western Communities,0,2021-07-13
Saanich Peninsula,0,2021-07-13
Southern Gulf Islands,0,2021-07-13
Cowichan Valley South,0,2021-07-13
Cowichan Valley West,0,2021-07-13
Cowichan Valley North,0,2021-07-13
Greater Nanaimo,1,2021-07-13
Oceanside,0,2021-07-13
Alberni/Clayoquot,0,2021-07-13
Comox Valley,0,2021-07-13
Greater Campbell River,1,2021-07-13
Vancouver Island West,0,2021-07-13
Vancouver Island North,0,2021-07-13
Haida Gwaii,0,2021-07-13
Prince Rupert,0,2021-07-13
Upper Skeena,0,2021-07-13
Smithers,0,2021-07-13
Kitimat,0,2021-07-13
Terrace,0,2021-07-13
Nisga'a,0,2021-07-13
Quesnel,0,2021-07-13
Burns Lake,0,2021-07-13
Nechako,1,2021-07-13
Prince George,0,2021-07-13
Peace River South,1,2021-07-13
Peace River North,0,2021-07-13
Fort Nelson,0,2021-07-13
Snow Country - Stikine - Telegraph Creek,0,2021-07-13
Fernie,0,2021-07-16
Cranbrook,1,2021-07-16
Kimberley,0,2021-07-16
Windermere,0,2021-07-16
Creston,0,2021-07-16
Golden,4,2021-07-16
Kootenay Lake,0,2021-07-16
Nelson,2,2021-07-16
Castlegar,5,2021-07-16
Arrow Lakes,0,2021-07-16
Trail,3,2021-07-16
Grand Forks,20,2021-07-16
Kettle Valley,0,2021-07-16
Southern Okanagan,1,2021-07-16
Penticton,0,2021-07-16
Keremeos,0,2021-07-16
Princeton,0,2021-07-16
Armstrong/Spallumcheen,3,2021-07-16
Vernon,2,2021-07-16
Central Okanagan,3,2021-07-16
Summerland,2,2021-07-16
Enderby,3,2021-07-16
Revelstoke,0,2021-07-16
Salmon Arm,1,2021-07-16
Kamloops,1,2021-07-16
100 Mile House,1,2021-07-16
North Thompson,0,2021-07-16
Cariboo/Chilcotin,0,2021-07-16
Lillooet,0,2021-07-16
South Cariboo,0,2021-07-16
Merritt,0,2021-07-16
Hope,0,2021-07-16
Chilliwack,1,2021-07-16
Abbotsford,1,2021-07-16
Mission,3,2021-07-16
Agassiz/Harrison,0,2021-07-16
New Westminster,1,2021-07-16
Burnaby,1,2021-07-16
Maple Ridge/Pitt Meadows,1,2021-07-16
Tri-Cities,1,2021-07-16
Langley,1,2021-07-16
Delta,0,2021-07-16
Surrey,0,2021-07-16
South Surrey/White Rock,1,2021-07-16
Richmond,1,2021-07-16
Vancouver - City Centre,2,2021-07-16
Vancouver - Centre North,1,2021-07-16
Vancouver - Northeast,0,2021-07-16
Vancouver - Westside,1,2021-07-16
Vancouver - Midtown,1,2021-07-16
Vancouver - South,0,2021-07-16
North Vancouver,1,2021-07-16
West Vancouver/Bowen Island,1,2021-07-16
Sunshine Coast,0,2021-07-16
Powell River,0,2021-07-16
Howe Sound,0,2021-07-16
Bella Coola Valley,0,2021-07-16
Central Coast,0,2021-07-16
Greater Victoria,1,2021-07-16
Western Communities,0,2021-07-16
Saanich Peninsula,0,2021-07-16
Southern Gulf Islands,0,2021-07-16
Cowichan Valley South,0,2021-07-16
Cowichan Valley West,0,2021-07-16
Cowichan Valley North,0,2021-07-16
Greater Nanaimo,0,2021-07-16
Oceanside,0,2021-07-16
Alberni/Clayoquot,0,2021-07-16
Comox Valley,0,2021-07-16
Greater Campbell River,1,2021-07-16
Vancouver Island West,0,2021-07-16
Vancouver Island North,0,2021-07-16
Haida Gwaii,0,2021-07-16
Prince Rupert,0,2021-07-16
Upper Skeena,3,2021-07-16
Smithers,0,2021-07-16
Kitimat,0,2021-07-16
Terrace,0,2021-07-16
Nisga'a,0,2021-07-16
Quesnel,0,2021-07-16
Burns Lake,0,2021-07-16
Nechako,1,2021-07-16
Prince George,0,2021-07-16
Peace River South,1,2021-07-16
Peace River North,0,2021-07-16
Fort Nelson,0,2021-07-16
Snow Country - Stikine - Telegraph Creek,0,2021-07-16
Fernie,1,2021-07-20
Cranbrook,2,2021-07-20
Kimberley,0,2021-07-20
Windermere,0,2021-07-20
Creston,0,2021-07-20
Golden,2,2021-07-20
Kootenay Lake,8,2021-07-20
Nelson,7,2021-07-20
Castlegar,18,2021-07-20
Arrow Lakes,0,2021-07-20
Trail,3,2021-07-20
Grand Forks,4,2021-07-20
Kettle Valley,8,2021-07-20
Southern Okanagan,1,2021-07-20
Penticton,0,2021-07-20
Keremeos,0,2021-07-20
Princeton,0,2021-07-20
Armstrong/Spallumcheen,3,2021-07-20
Vernon,2,2021-07-20
Central Okanagan,3,2021-07-20
Summerland,11,2021-07-20
Enderby,0,2021-07-20
Revelstoke,0,2021-07-20
Salmon Arm,1,2021-07-20
Kamloops,2,2021-07-20
100 Mile House,1,2021-07-20
North Thompson,0,2021-07-20
Cariboo/Chilcotin,0,2021-07-20
Lillooet,0,2021-07-20
South Cariboo,0,2021-07-20
Merritt,0,2021-07-20
Hope,2,2021-07-20
Chilliwack,1,2021-07-20
Abbotsford,0,2021-07-20
Mission,0,2021-07-20
Agassiz/Harrison,3,2021-07-20
New Westminster,0,2021-07-20
Burnaby,1,2021-07-20
Maple Ridge/Pitt Meadows,1,2021-07-20
Tri-Cities,1,2021-07-20
Langley,2,2021-07-20
Delta,0,2021-07-20
Surrey,1,2021-07-20
South Surrey/White Rock,1,2021-07-20
Richmond,1,2021-07-20
Vancouver - City Centre,1,2021-07-20
Vancouver - Centre North,2,2021-07-20
Vancouver - Northeast,1,2021-07-20
Vancouver - Westside,0,2021-07-20
Vancouver - Midtown,1,2021-07-20
Vancouver - South,0,2021-07-20
North Vancouver,1,2021-07-20
West Vancouver/Bowen Island,1,2021-07-20
Sunshine Coast,0,2021-07-20
Powell River,0,2021-07-20
Howe Sound,0,2021-07-20
Bella Coola Valley,0,2021-07-20
Central Coast,0,2021-07-20
Greater Victoria,0,2021-07-20
Western Communities,0,2021-07-20
Saanich Peninsula,0,2021-07-20
